rule,premise,conclusion,support,confidence,lift,avg_distance_norm,avg_cardinality,score,premise_count,conclusion_count,co_occurrences
jeweller → clothes,jeweller,clothes,0.898,1.0,1.98,0.309,11.22,0.7592,842,3601,9446
university → tree,university,tree,0.901,1.0,0.9,0.372,41.48,0.7336,111,899340,4604
market_place → tree,market_place,tree,0.843,1.0,0.84,0.36,36.24,0.6911,140,899340,5074
jeweller → tree,jeweller,tree,0.862,1.0,0.86,0.444,28.71,0.671,842,899340,24172
jeweller → restaurant,jeweller,restaurant,0.948,0.816,0.95,0.336,8.16,0.6438,842,14682,6873
bicycle_rental → tree,bicycle_rental,tree,0.803,1.0,0.8,0.403,30.88,0.6411,923,899340,28502
taxi → tree,taxi,tree,0.802,1.0,0.8,0.442,24.59,0.6249,202,899340,4968
food_court → tree,food_court,tree,0.813,1.0,0.81,0.464,29.69,0.6245,75,899340,2227
bookshop → tree,bookshop,tree,0.826,1.0,0.83,0.491,25.88,0.6231,436,899340,11283
optician → tree,optician,tree,0.817,1.0,0.82,0.485,25.81,0.6189,776,899340,20025
beauty_shop → tree,beauty_shop,tree,0.802,1.0,0.8,0.47,31.83,0.6137,1258,899340,40048
tram_stop → tree,tram_stop,tree,0.79,1.0,0.79,0.446,26.02,0.6137,1241,899340,32290
mobile_phone_shop → clothes,mobile_phone_shop,clothes,0.885,0.812,1.96,0.34,8.12,0.5967,365,3601,2965
clothes → tree,clothes,tree,0.793,1.0,0.79,0.504,25.97,0.593,3601,899340,93530
college → tree,college,tree,0.778,1.0,0.78,0.489,27.85,0.5876,144,899340,4011
travel_agent → tree,travel_agent,tree,0.78,1.0,0.78,0.496,25.48,0.5871,460,899340,11719
hairdresser → tree,hairdresser,tree,0.771,1.0,0.77,0.497,27.19,0.5796,4634,899340,125994
shoe_shop → clothes,shoe_shop,clothes,0.817,0.864,1.81,0.376,8.64,0.5733,710,3601,6135
theatre → tree,theatre,tree,0.766,1.0,0.77,0.503,25.81,0.5732,346,899340,8931
market_place → bench,market_place,bench,0.764,0.981,0.76,0.48,9.81,0.5696,140,88411,1373
mobile_phone_shop → tree,mobile_phone_shop,tree,0.767,1.0,0.77,0.519,25.14,0.5682,365,899340,9176
fast_food → tree,fast_food,tree,0.754,1.0,0.75,0.504,25.08,0.5644,2688,899340,67412
laundry → tree,laundry,tree,0.748,1.0,0.75,0.521,26.72,0.5528,428,899340,11435
shoe_shop → tree,shoe_shop,tree,0.754,1.0,0.75,0.534,23.74,0.5524,710,899340,16852
stationery → tree,stationery,tree,0.751,1.0,0.75,0.54,22.16,0.5484,249,899340,5517
dentist → tree,dentist,tree,0.738,1.0,0.74,0.518,27.44,0.5469,645,899340,17697
christian_methodist → tree,christian_methodist,tree,0.737,1.0,0.74,0.527,20.11,0.5427,19,899340,382
jeweller → bench,jeweller,bench,0.84,0.895,0.84,0.561,8.95,0.5409,842,88411,7539
camera_surveillance → tree,camera_surveillance,tree,0.727,1.0,0.73,0.52,26.28,0.5379,4037,899340,106074
computer_shop → tree,computer_shop,tree,0.724,1.0,0.72,0.519,25.0,0.5365,214,899340,5350
clinic → tree,clinic,tree,0.736,1.0,0.74,0.547,25.84,0.5347,246,899340,6356
newsagent → tree,newsagent,tree,0.724,1.0,0.72,0.535,23.01,0.53,239,899340,5499
pharmacy → tree,pharmacy,tree,0.722,1.0,0.72,0.543,23.01,0.5258,1593,899340,36657
cinema → tree,cinema,tree,0.714,1.0,0.71,0.529,21.78,0.5251,234,899340,5096
muslim_sunni → tree,muslim_sunni,tree,0.727,1.0,0.73,0.571,29.27,0.5197,11,899340,322
