rule,premise,conclusion,support,confidence,lift,avg_distance_norm,avg_cardinality,score,premise_count,conclusion_count,co_occurrences
jeweller → clothes,jeweller,clothes,0.898,1.0,1.98,0.309,11.22,0.7592,842,3601,9446
mobile_phone_shop → clothes,mobile_phone_shop,clothes,0.885,0.812,1.96,0.34,8.12,0.5967,365,3601,2965
shoe_shop → clothes,shoe_shop,clothes,0.817,0.864,1.81,0.376,8.64,0.5733,710,3601,6135
optician → clothes,optician,clothes,0.793,0.651,1.75,0.443,6.51,0.4015,776,3601,5049
bookshop → clothes,bookshop,clothes,0.759,0.612,1.68,0.496,6.12,0.3493,436,3601,2668
travel_agent → clothes,travel_agent,clothes,0.698,0.537,1.54,0.528,5.37,0.2757,460,3601,2469
mobile_phone_shop → hairdresser,mobile_phone_shop,hairdresser,0.89,0.315,1.53,0.438,3.15,0.2187,365,4634,1148
jeweller → cafe,jeweller,cafe,0.835,0.31,2.0,0.484,3.1,0.1962,842,3316,2610
video_shop → clothes,video_shop,clothes,0.75,0.325,1.66,0.606,3.25,0.1699,8,3601,26
mobile_phone_shop → fast_food,mobile_phone_shop,fast_food,0.715,0.29,2.12,0.571,2.9,0.1484,365,2688,1060
clothes → cafe,clothes,cafe,0.765,0.254,1.83,0.534,2.54,0.1424,3601,3316,9154
mobile_phone_shop → cafe,mobile_phone_shop,cafe,0.748,0.245,1.79,0.547,2.45,0.1334,365,3316,896
bookshop → cafe,bookshop,cafe,0.75,0.232,1.8,0.561,2.32,0.1254,436,3316,1013
clothes → jeweller,clothes,jeweller,0.666,0.262,6.29,0.581,2.62,0.1238,3601,842,9446
optician → cafe,optician,cafe,0.731,0.227,1.75,0.561,2.27,0.1192,776,3316,1760
shoe_shop → cafe,shoe_shop,cafe,0.703,0.23,1.69,0.564,2.3,0.1159,710,3316,1630
food_court → fast_food,food_court,fast_food,0.6,0.28,1.78,0.623,2.8,0.1157,75,2688,210
jeweller → fast_food,jeweller,fast_food,0.696,0.24,2.06,0.616,2.4,0.1156,842,2688,2020
video_shop → bar,video_shop,bar,0.5,0.3,1.78,0.557,3.0,0.1082,8,2240,24
mobile_phone_shop → jeweller,mobile_phone_shop,jeweller,0.704,0.212,6.65,0.565,2.12,0.107,365,842,773
food_court → supermarket,food_court,supermarket,0.747,0.179,1.72,0.416,1.79,0.1056,75,3462,134
shoe_shop → jeweller,shoe_shop,jeweller,0.61,0.24,5.76,0.61,2.4,0.1016,710,842,1702
travel_agent → cafe,travel_agent,cafe,0.683,0.208,1.64,0.594,2.08,0.1,460,3316,958
