distance,speed,weather,isOpen,favorite,clickCount,lastClickedDate,theme,fclass,interestScore
304.79,5.63,1,0,0,8,1725005220,5,40,0.057
335.46,16.93,2,1,1,3,1713254820,3,73,1.0
347.06,31.67,2,0,1,9,1707988020,1,42,0.108
325.94,18.55,1,1,1,8,1720771620,1,38,1.0
219.71,2.85,2,0,0,0,1729498020,4,16,0.089
188.14,28.31,3,0,1,8,1714291620,4,74,0.57
166.14,2.39,2,1,1,4,1748851620,1,6,1.0
162.23,18.67,3,0,1,2,1744618020,3,63,0.572
178.42,32.06,3,1,0,8,1725005220,5,6,1.0
212.06,8.89,2,0,1,1,1744618020,2,26,0.213
101.87,15.5,3,1,1,1,1726474020,3,11,1.0
164.98,25.87,1,1,1,9,1709370420,5,9,1.0
240.67,7.72,1,1,0,4,1725091620,1,40,1.0
285.38,3.61,2,0,1,2,1751011620,0,17,0.51
190.38,7.43,1,0,0,0,1705568820,3,48,0.141
218.15,20.61,2,1,0,7,1718957220,3,60,1.0
125.58,7.66,2,0,0,7,1712909220,5,74,0.273
11.48,9.28,2,1,1,4,1713514020,2,50,1.0
34.94,22.08,3,0,0,6,1733908020,4,16,0.332
18.58,2.47,2,0,1,7,1736500020,1,68,0.757
159.9,0.96,3,1,0,1,1745568420,1,45,1.0
353.52,5.55,3,1,0,4,1748246820,3,38,1.0
107.46,11.23,3,0,1,9,1752566820,4,10,0.244
268.08,3.81,3,0,0,3,1718093220,0,20,0.055
147.64,27.46,3,0,0,10,1705482420,3,3,0.542
126.65,26.57,2,1,0,1,1728979620,5,6,1.0
235.24,0.53,3,1,0,3,1703149620,3,45,1.0
261.25,9.11,1,0,0,2,1702804020,5,44,0.106
342.86,29.44,2,0,1,9,1737882420,0,33,0.536
351.43,34.99,3,1,0,9,1725091620,4,13,1.0
198.99,20.37,2,1,1,9,1734340020,4,64,1.0
171.4,28.42,2,0,1,4,1723018020,4,30,0.176
258.03,13.79,2,1,1,1,1714982820,3,51,1.0
51.91,1.82,1,0,1,9,1724400420,4,26,0.687
31.43,5.79,3,1,0,0,1717747620,1,47,1.0
300.41,28.57,2,1,1,2,1729066020,3,2,1.0
126.76,11.86,2,0,1,6,1752134820,0,28,0.309
247.39,19.14,3,1,0,2,1728893220,4,17,1.0
63.1,20.87,3,0,1,0,1705568820,4,45,0.316
345.23,33.16,1,1,1,9,1711357620,1,48,1.0
91.5,15.47,2,1,1,6,1744358820,5,46,1.0
329.31,13.91,2,0,0,3,1702804020,1,13,0.022
102.56,11.64,1,0,1,10,1722672420,4,71,0.29
74.86,21.42,1,1,1,5,1748938020,3,64,1.0
130.79,18.2,3,1,0,5,1715501220,3,48,1.0
7.64,29.76,1,0,1,7,1745309220,5,39,0.649
320.75,10.01,1,0,0,6,1737968820,0,48,0.473
146.23,34.42,1,0,0,7,1716883620,4,41,0.133
210.09,34.44,3,0,0,2,1729411620,5,34,0.081
297.45,2.98,3,1,0,10,1723536420,1,63,1.0
183.94,15.04,3,1,0,8,1707383220,5,18,1.0
277.99,8.31,3,1,0,0,1724314020,4,45,1.0
190.2,22.36,2,1,0,0,1724314020,3,43,1.0
19.92,12.82,1,0,0,10,1713168420,4,46,0.44
315.09,0.91,3,1,1,10,1735808820,0,69,1.0
209.98,28.04,3,0,1,3,1708160820,3,17,0.14
131.47,15.5,3,0,0,6,1718784420,3,55,0.14
273.28,24.14,3,1,0,1,1737364020,5,12,1.0
190.63,21.62,2,1,1,1,1711958820,1,16,1.0
215.91,24.33,2,0,0,7,1752221220,4,60,0.081
277.05,10.49,1,1,1,4,1733562420,4,36,1.0
309.22,15.39,2,0,1,3,1731143220,1,33,0.129
33.96,33.11,3,1,0,8,1751530020,4,62,1.0
75.71,16.79,2,0,0,10,1716019620,3,50,0.244
64.27,31.08,3,1,1,2,1716106020,5,12,1.0
45.39,14.72,2,1,0,8,1727078820,4,27,1.0
102.38,6.35,1,0,1,3,1707124020,0,71,0.665
319.22,15.97,2,1,1,5,1717056420,1,25,1.0
262.01,30.36,3,0,1,5,1714810020,4,2,0.117
323.81,1.28,2,1,0,4,1704013620,5,41,1.0
37.78,22.26,2,0,0,5,1742634420,1,10,0.584
47.87,19.99,1,0,1,10,1724746020,5,23,0.506
213.95,31.27,1,1,0,4,1751443620,4,19,1.0
303.08,7.13,1,1,0,9,1710148020,2,44,1.0
285.66,17.09,1,1,0,6,1731056820,5,54,1.0
353.93,1.1,3,1,0,2,1732352820,2,7,1.0
201.22,0.46,2,0,0,8,1730711220,4,74,0.516
178.17,3.68,3,1,1,1,1734167220,1,65,1.0
197.81,6.54,3,0,0,6,1703322420,1,51,0.172
284.72,15.65,3,0,0,7,1744877220,5,48,0.036
86.19,22.48,1,1,0,1,1717402020,4,29,1.0
351.14,4.76,2,1,0,2,1703236020,1,20,1.0
193.37,14.5,2,0,0,10,1718266020,5,11,0.141
334.89,22.5,3,0,1,1,1729411620,1,11,0.101
192.34,7.74,2,0,0,10,1714637220,5,16,0.164
165.55,20.4,2,0,0,4,1715069220,3,20,0.539
159.31,12.8,2,0,0,3,1709629620,4,34,0.128
150.32,6.27,1,1,1,10,1704100020,3,21,1.0
262.0,32.53,2,0,1,4,1730106420,3,47,0.125
170.59,14.27,2,0,1,0,1704877620,1,38,0.301
205.69,1.89,3,0,1,0,1715328420,2,48,0.197
339.67,24.42,3,0,1,5,1712218020,2,24,0.099
100.63,32.47,3,0,1,7,1708160820,2,59,0.296
223.3,15.95,2,0,1,0,1731316020,2,54,0.558
3.11,19.97,2,1,1,1,1745827620,0,67,1.0
293.4,27.84,2,1,0,1,1728806820,2,64,1.0
257.38,21.35,1,0,0,0,1715674020,3,14,0.065
329.62,19.2,1,0,0,0,1738228020,5,34,0.026
280.34,11.31,3,1,0,6,1713168420,5,4,1.0
166.7,3.18,1,1,1,7,1734340020,4,45,1.0
