distance,speed,weather,isOpen,favorite,clickCount,lastClickedDate,theme,fclass,cluster_score,colocation_score,interestScore
0.53,6.85,2,1,0,4,424,1,51,0.242,0.108,0.0
1.11,12.31,2,1,1,2,73,3,38,0.133,0.365,0.0
0.51,11.39,1,1,0,9,56,0,52,0.487,0.428,0.0
14.4,10.69,2,1,0,5,441,3,52,0.224,0.194,0.0
0.5,5.7,1,1,1,29,11,2,73,0.718,0.744,0.0
0.5,3.03,2,0,0,4,573,0,70,0.134,0.228,0.292
1.97,6.01,1,1,0,3,129,4,26,0.123,0.175,0.294
0.46,47.8,2,0,0,2,81,0,21,0.306,0.354,0.346
0.42,4.65,3,1,0,2,153,2,23,0.353,0.359,0.0
1.91,6.35,1,0,0,2,113,5,42,0.389,0.192,0.0
0.64,32.56,2,1,0,8,109,4,71,0.596,0.368,0.0
10.28,5.08,1,1,0,4,150,5,38,0.173,0.241,0.0
0.33,6.02,1,1,0,28,25,5,68,0.797,0.718,0.0
2.06,3.21,1,1,1,9,74,3,72,0.45,0.467,0.0
3.62,3.8,3,1,0,5,364,4,14,0.192,0.295,0.0
13.73,6.37,1,1,1,1,157,4,68,0.331,0.397,0.0
5.0,5.69,2,0,0,5,478,1,33,0.149,0.33,0.0
0.92,15.21,3,0,0,3,44,4,52,0.273,0.204,0.0
5.0,16.85,1,1,1,4,54,5,4,0.442,0.561,0.0
92.52,3.27,3,0,0,21,7,3,13,0.756,0.772,0.0
0.65,4.38,1,1,1,3,200,4,30,0.296,0.233,0.0
61.39,14.14,3,0,1,26,19,3,66,0.793,0.776,0.0
1.22,10.15,1,0,0,5,42,4,55,0.592,0.42,0.0
3.68,13.28,2,1,0,0,433,2,6,0.283,0.161,0.0
0.07,4.3,3,0,0,5,59,4,24,0.346,0.268,0.0
0.02,12.31,2,1,0,5,182,2,61,0.237,0.257,0.0
81.32,48.55,3,1,1,8,160,3,46,0.534,0.516,0.0
2.99,5.6,3,0,0,0,372,2,19,0.132,0.141,0.0
1.61,3.52,2,0,0,10,10,3,52,0.387,0.586,0.288
10.67,3.36,1,1,0,5,138,2,72,0.526,0.335,0.0
84.42,6.75,1,1,0,6,97,2,48,0.538,0.343,0.0
0.27,3.94,1,0,0,3,267,4,7,0.193,0.122,0.0
5.0,5.43,3,1,1,3,89,4,57,0.232,0.371,0.0
0.69,5.02,2,0,1,4,135,3,64,0.476,0.358,0.53
0.42,3.41,1,1,0,10,159,1,12,0.506,0.558,0.0
1.27,15.58,1,1,0,5,212,3,28,0.259,0.103,0.0
0.22,6.83,1,1,0,3,118,3,55,0.379,0.368,0.0
0.31,4.66,3,1,0,5,75,3,51,0.573,0.57,0.0
97.57,4.09,2,1,0,4,44,0,1,0.308,0.39,0.0
16.95,3.96,3,1,1,0,301,3,59,0.225,0.152,0.0
0.41,26.58,3,0,1,8,107,5,27,0.478,0.515,0.0
0.49,18.25,2,1,0,4,16,4,20,0.617,0.608,0.0
0.08,35.41,3,1,0,5,371,3,14,0.284,0.136,0.0
1.57,3.28,1,0,0,0,161,4,4,0.427,0.369,0.0
1.92,15.29,2,0,0,9,34,4,51,0.515,0.383,0.37
0.19,11.72,2,1,1,5,88,5,46,0.328,0.292,0.0
1.95,5.04,1,0,0,9,41,2,30,0.416,0.558,0.0
16.27,3.22,2,0,1,8,99,5,32,0.479,0.594,0.0
35.46,6.02,2,0,0,2,223,0,18,0.181,0.367,0.0
10.06,17.29,1,1,1,8,106,2,19,0.453,0.583,0.0
3.19,4.21,2,1,1,24,12,4,33,0.79,0.697,0.0
0.09,6.67,1,1,0,4,22,1,55,0.367,0.316,0.0
1.5,6.22,2,0,0,0,140,1,1,0.338,0.368,0.0
