environmentType,timeOfDay,dayOfWeek,themeLabel
1,21,1,1
2,8,1,1
0,6,6,3
1,2,2,5
1,23,6,5
0,5,4,2
1,12,3,1
2,4,2,5
2,6,4,5
0,1,0,2
0,0,5,3
1,18,5,1
0,14,6,0
1,23,6,5
1,23,5,5
0,5,2,2
0,22,3,3
2,0,1,5
1,1,5,5
0,17,4,2
2,1,4,5
1,7,6,1
0,10,0,1
0,9,3,1
0,0,2,2
1,11,5,1
1,9,1,1
2,3,5,5
2,21,3,5
0,10,6,1
1,2,4,5
0,13,4,1
0,4,6,3
0,18,2,2
0,17,2,2
1,13,0,1
0,10,1,1
1,20,4,1
1,19,6,1
2,21,0,5
0,23,5,3
2,22,2,5
0,19,2,1
1,5,5,5
2,17,2,4
2,3,3,5
1,2,1,5
1,17,5,1
1,9,3,1
2,14,1,4
1,3,2,5
2,14,6,4
0,3,5,3
0,22,1,3
0,23,3,3
0,11,4,1
0,21,4,1
0,5,4,2
0,3,2,2
2,13,3,4
0,12,1,1
1,22,2,5
1,6,5,5
0,3,3,2
0,17,2,2
0,17,6,1
1,13,1,1
2,17,4,4
0,23,0,3
1,8,0,1
2,9,6,1
0,18,1,2
2,1,6,5
1,20,2,1
2,2,1,5
2,7,3,1
1,4,5,5
2,23,6,5
0,10,0,1
2,4,6,5
0,8,0,1
0,19,1,1
2,8,0,1
0,19,4,1
1,15,0,1
0,15,4,1
0,1,2,2
1,15,6,4
2,0,3,5
1,20,5,1
1,8,0,1
0,5,2,2
0,5,3,2
1,4,1,5
0,8,3,2
1,1,1,5
2,6,0,5
0,12,0,1
2,20,1,1
2,6,0,5
0,8,1,1
0,8,6,1
1,12,4,1
2,4,1,5
1,21,5,1
1,5,5,5
0,17,2,2
0,15,1,1
1,22,1,5
0,4,0,2
2,18,4,1
1,23,6,5
0,0,3,2
0,15,1,1
0,19,1,1
0,2,2,2
2,1,6,5
0,18,5,1
0,17,4,2
1,19,5,1
0,15,3,1
0,11,5,1
1,15,3,1
0,5,6,3
2,4,6,5
0,12,1,1
1,16,3,1
0,13,3,1
0,10,3,1
1,16,4,1
0,10,2,1
2,5,5,5
2,14,0,4
1,6,2,5
0,3,4,2
0,1,3,2
0,21,3,1
0,8,0,1
0,6,0,2
0,19,2,1
0,15,0,1
1,2,4,5
0,17,1,2
0,4,4,2
0,6,2,1
2,7,2,1
0,19,0,1
2,10,5,5
0,17,5,1
2,16,2,4
0,23,0,3
0,16,6,0
0,16,0,2
0,9,3,1
0,10,1,1
0,21,3,1
0,0,3,2
0,11,1,1
2,8,6,1
0,18,1,2
1,10,5,1
0,22,4,3
0,19,6,1
2,5,1,5
0,17,5,1
2,6,5,5
2,14,6,4
1,21,3,5
1,7,5,1
2,6,5,5
2,11,5,4
0,3,3,2
1,3,0,5
2,22,5,5
1,6,4,5
1,6,2,5
2,7,0,1
0,5,0,2
0,7,0,1
0,22,0,3
2,7,3,1
1,8,5,1
2,22,0,5
1,10,6,1
0,4,3,2
1,17,2,1
1,19,2,1
0,4,1,2
1,13,6,1
0,13,2,1
1,8,3,1
2,21,6,5
0,10,1,1
1,1,1,5
2,21,1,5
2,23,0,5
1,19,2,1
2,19,0,1
2,8,4,1
2,11,0,4
0,14,1,1
2,20,5,4
0,11,3,1
0,13,5,1
2,23,3,5
2,1,4,5
1,6,2,5
1,13,6,1
2,2,3,5
0,16,3,2
2,13,3,4
